name,energy,fat,carbohydrates,sugar,fibers,protein,salt
Bell_pepper_red_raw,32,0.4,5.2,5.1,2,0.9,0
Bell_pepper_red_stewed_(without_addition_of_fat_and_salt),39,0.4,6.4,6.2,2.5,1.1,0
Berliner_pas  y,336,12.8,45.8,17.1,2.2,8.4,0.6
Bernese_alp_cheese,453,38.3,0,  ,0,27.1,1.6
Bernese_cheese_for_slicing,491,41.2,0,  ,0,30,1.7
Bernese_tongue_sausage,333,29.4,0,0,0,17.3,1.5
Berries_(average)_cooked_(without_addition_of_sugar),35,0.6,5.3,5,3.2,0.7,0
Berries_(average)_raw,40,0.5,6.3,5.9,3.7,0.7,0
Biber_(Filled_ginger_bread_type),355,5.6,65.6,36.9,3,7.8,0
Bierwurst_(coarse_heat-  eated_cured_&_smoked_sausage_beef_and_pork),291,25.4,0,0,0,15.6,1.4
Birchermüesli_prepared_(no_sugar_added),86,3.1,11.1,8.2,1.5,2.6,0
Birnenweggen_pas  y_with_pear,363,10.4,57.2,33.5,6.9,4.9,0.8
Black_forest_cake,248,16.1,21.4,12,0.9,3.9,0.1
Black_pudding,149,10.9,2.5,2.4,0.1,10.2,2
Black_salsify_raw,55,0.4,2.1,2,18.3,1.4,0
Black_salsify_steamed_(without_addition_of_salt),57,0.5,2.2,2.1,19.1,1.5,0
Blackberry_pie_home-made_(with_sweet_short_pas  y_base),215,11.7,22.3,10.2,3.6,3.2,0.1
Blackberry_pie_home-made_baked_(with_cake_dough),144,6.9,15.2,5.8,3.9,3.2,0.2
Blackberry_pie_home-made_baked_(with_puff_pas  y),141,7.1,14.5,5.8,3.8,3,0.3
Blackberry_fresh,47,0.7,6.5,6.1,5.2,1.1,0
Blanc_battu_with_fruits_with_sweetener,67,0.2,8.3,5.2,0.3,8,0.1
Blanc_battu_plain_low_fat,47,0,3.9,3.9,  .,7.8,0.1
Blue_cheese_(average),360,31.5,0.2,0.1,0,19.1,3.8
Blueberry_freeze-dried,338,4.4,56.4,46.4,24.4,6.1,0
Blueberry_raw,52,0.3,10.6,10,1.5,0.9,0
Boiling_meat_salad_prepared,201,14.9,1.5,1.2,0.5,15,0.8
Bouillon_meat_prepared,5,0.3,0.2,0,  .,0.3,1.1
Bouillon_poul  y_prepared,5,0.3,0.3,0.1,  .,0.3,1
Bouillon_vegetable_prepared,6,0.4,0.4,0.1,  .,0.3,0.9
Braided_bread_wholemeal_made_with_butter,272,6.4,40.4,0.9,7.3,9.5,1.2
Braided_white_bread_made_with_butter,325,11.4,45.7,2.9,2.1,9,1.5
Brazil_nut,698,66.5,4.2,2.3,7.5,17,0
Bread_(average),264,4.6,44.6,1.3,3.7,9.2,1.6
Bread_for_toasting_dark_or_multigrain,272,4.7,45.6,4,5.2,9.1,1.3
Bread_for_toasting_white_made_with_butter,316,10.4,45.7,2.7,2.2,8.9,1.4
Bread_for_toasting_white_made_with_vegetable_oil,267,3.3,49.2,4.4,2.9,8.7,1.3
Bread_for_toasting_wholemeal,271,4.9,43.7,4.2,7.4,9.3,1.3
Bread_roll_(semi_white),215,1,41.5,0.4,2.9,8.6,1.9
Bread_roll_from_St._Gallen_(semi_white),231,1,44.6,0.3,3.5,9.1,2.1
Bread_roll_with_chocolate,366,14.3,49.7,16.3,2.2,8.6,1.3
Bread_roll_white,255,0.8,51.8,0.7,2.5,8.7,1.7
Bread_with_walnuts,332,17.9,30.8,2,5.8,9.2,1.2
Breadcrumbs,373,2.1,73.5,4.4,4.5,12.7,1
Bresaola_(cured_beef),167,3.9,0.4,  .,0,32.4,6.8
Brie_at_least_45%_fidm,298,23.5,0,0,0,21.4,1.3
Brie_at_least_50%_fidm,342,30,0,0,0,17.7,1.4
Broccoli_raw,39,0.6,3.2,1.9,3.2,3.6,0
Broccoli_steamed_(without_addition_of_salt),35,0.5,2.9,1.7,2.8,3.3,0
Brown_bread,234,1.2,44.3,0.5,4.1,9.5,1.6
Brown_bread_(with_iodized_salt),234,1.2,44.3,0.5,4.1,9.5,1.6
Brunsli_(chocolate_cookie),515,29.9,43.3,39.4,6.8,14.9,0.1
Brussel_sprouts_steamed_(without_addition_of_salt),37,0.4,3,2.5,3.6,3.6,0
Brussels_sprouts_raw,41,0.4,3.3,2.8,4,4,0
Buckwheat_flour,348,2.2,68.4,0,4.2,11.5,0
Buckwheat_grain_peeled,346,1.7,71,0.4,3.7,9.8,0
Burger_patty_(beef)_pan_fried_in_HOLL_rapeseed_oil,187,9.1,6.4,1.2,0.7,19.5,0.7
Butter_cake,430,24.7,44.7,26.6,0.8,6.9,0.2
Butter_croissant_white,432,24.2,43.5,3.3,2.6,8.7,1.2
Butter_croissant_wholemeal,368,19.7,38.7,2.2,4.2,6.8,1.1
Butter_of_choice,746,82.3,0.7,0.6,0,0.7,0
Butter_40%_fat,391,39.8,3.5,3.5,0,4.8,0.3
Butter_cheese_dairy,747,82.5,0.6,0.5,0,0.4,0
Butter_clarified,885,98.3,0,0,0,0.1,0
Butterhead_lettuce_raw,14,0.2,1.1,1,1.6,1.3,0
Buttermilk,34,0.5,4,4,0,3.4,0.1
Cabbage_sausage,363,32.4,1.6,1.5,0.8,15.9,2.5
Cabbage_vegetables_(average)_boiled_(without_addition_of_salt_and_fat),29,0.4,3.1,2.6,2.4,2.2,0
Cabbage_vegetables_(average)_raw,30,0.4,3.2,2.8,2.5,2.3,0
Cake_dough_(with_butter)_raw,375,21.2,38.5,0.3,1.8,6.7,0.8
Cake_dough_(with_vegetable_fat)_raw,394,23.5,38.1,0.2,1.8,6.6,0.8
Cake_dough_whole_(with_butter)_raw,372,21.5,33.8,0.7,6.1,7.6,0.8
Cake_dough_whole_(with_vegetable_fat)_raw,359,20.2,33.7,0.6,6.1,7.6,0.9
Cake_financier,440,26.1,38.5,29.9,3.3,11.1,0.1
Cake_with_carrots,303,16.4,25.8,19.6,3.9,11.1,0.2
Calimocho_(red_wine_mixed_with_cola),55,0,5.2,5.1,0,0.1,0
Camembert_at_least_25%_fidm,188,10,0,0,0,24.4,1.5
Camembert_at_least_45%_fidm,297,23.7,0,0,0,20.8,2.2
Camembert_at_least_50%_fidm,355,31.7,0,0,0,17.1,1.2
Candied_lemon_peel,289,0.4,70,70,2,0.4,0
Candied_orange_peel,306,0.3,74.3,74.3,2.3,0.4,0
Candy_toffee,351,3.6,79.3,79.3,0,0.4,0.3
Cannelloni_filled_with_meat_prepared,177,9,13.8,2.1,1.6,9.5,0.7
Cannelloni_filled_with_spinach_and_ricotta_prepared,221,14.3,14.6,1.5,1.5,7.8,0.9
Cappuccino_(without_chocolate_powder)_no_sugar_added,37,2.2,2.6,2.5,0,1.7,0.1
Capuns_prepared,165,10.2,9.7,0.9,0.8,8,1
Carnival_pas  y,553,32.9,51.7,1.9,2.3,11.5,0.1
Carrot_juice,33,0.1,6.8,4.8,0.9,0.7,0.1
Carrot_raw,42,0.4,7.6,6,2.7,0.6,0.1
Carrot_steamed_(without_addition_of_salt),44,0.4,8,6.3,2.8,0.7,0.1
Cashew_nut,619,48.1,23.2,3.1,3.6,21.5,0
Cauliflower_raw,26,0.7,2.1,1.7,2,1.8,0
Cauliflower_steamed_(without_addition_of_salt),26,0.7,2.1,1.7,2,1.8,0
Celeriac_piccata_prepared,136,8.2,8.4,1.5,3.5,5.4,0.3
Celeriac_slices_breaded_prepared,139,5.7,15.4,1.9,4,4.7,0.3
Celeriac_raw,32,0.3,4,1.6,3.8,1.4,0.1
Celeriac_steamed,32,0.3,4,1.6,3.8,1.4,0.1
Celery_raw,20,0.4,2.4,1.3,2.2,0.6,0.2
Celery_steamed_(without_addition_of_salt),20,0.4,2.4,1.3,2.2,0.6,0.2
Cereal_bar_with_chocolate_coating,459,20.2,58,37.1,5.7,8.5,0.4
Cereal_bar_without_cover_and_filling,416,12.8,64.2,32.1,6,7.9,0.4
Cereal_flakes_(average),348,3.2,64,1.5,9.7,10.8,0
Cervelat_(Swiss_sausage),249,21.5,0.5,0.5,0,13.4,2.1
Chanterelle_raw,24,0.5,0.2,0.2,4.7,2.3,0
Chanterelle_stewed_(without_addition_of_fat_and_salt),28,0.6,0.2,0.2,5.7,2.6,0
Cheese_and_sausage_salad_prepared,262,22.6,0.7,0.6,0.3,13.8,1.4
Cheese_bread_slices_prepared,272,12.1,26,1,2.3,13.8,1.4
Cheese_grated,406,32.1,0,0,0,29.3,1.7
Cheeseburger,281,14.2,24.3,3.3,1.6,13.2,1.6
Cherry_pie_from_Zug,335,18.7,34.6,27,1.5,4.8,0.2
Cherry_pie_home-made_baked_(with_cake_dough),153,6.7,19.5,8.4,1.5,3,0.2
Cherry_pie_home-made_baked_(with_puff_pas  y),151,6.9,18.8,8.4,1.4,2.8,0.3
Cherry_raw,62,0.4,13,10,1.6,0.8,0
Cherry_stewed_drained_(without_addition_of_sugar),58,0.5,12,9.2,1.5,0.9,0
Chestnut_raw,210,1.9,41.2,14,8.4,2.9,0
Chia_seed,482,34.1,1.8,1.8,40.9,21.4,0
Chicken_egg_whole_hard_boiled,156,10.9,0.3,0.3,0,14,0.4
Chicken_breast_with_skin_raw,152,6.5,0,0,0,23.3,0.1
Chicken_breast_without_skin_raw,107,1,0,0,0,24.6,0.1
Chicken_brest_(schnitzel_ground)_pan_fried_(without_addition_of_fat_and_salt),128,0.8,0,0,0,30.1,0.1
Chicken_leg_with_skin_roasted_(without_addition_of_fat_and_salt),187,10.2,0,0,0,23.9,0.2
Chicken_leg_with_skin_raw,163,10.2,0,0,0,17.9,0.2
Chicken_leg_without_skin_raw,135,6.2,0,0,0,19.7,0.2
Chicken_whole_with_skin_roasted_(without_addition_of_fat_and_salt),193,10.3,0,0,0,25.1,0.2
Chicken_whole_with_skin_raw,168,10.3,0,0,0,18.8,0.2
Chickenburger,247,11,23.8,2.9,1.2,12.7,1.2
Chickpea_cooked_(without_addition_of_fat_and_salt),127,2,16.8,0.9,6.2,7.3,0
Chickpea_dried,327,4.9,44.3,2.4,15.5,18.6,0
Chicory_raw,20,0.2,2.8,2.4,1.2,1.1,0
Chicory_steamed_(without_addition_of_salt),20,0.2,2.8,2.4,1.2,1.1,0
Chili_con_carne_prepared,115,3.6,8.7,2.1,3.1,10.4,0.4
Chinese_cabbage_raw,14,0.2,1.2,1.2,1.1,1.4,0
Chinese_cabbage_stewed_(without_addition_of_fat_and_salt),14,0.2,1.2,1.1,1,1.3,0
Chives_fresh,30,0.6,1.9,1.9,2.3,3,0
